ID,NAME,all_ids
36,aerocaribbean,{36}
173,aviaimport,"{22944, 50276, 38060, 50220, 173, 33398, 16825}"
306,nationalbankofcuba,"{25578, 306, 10130, 51671, 40187}"
540,coiba,{540}
552,crymsa,{552}
555,coprova,{555}
555,coprovasarl,{555}
559,cimex,"{8125, 559}"
651,delvestholdingcompany,{651}
735,cubanaairlines,"{8126, 735}"
751,caribbeanexportenterprise,{751}
758,cubatur,{758}
815,galaxinc,{815}
906,havanainternationalbankltd,{906}
1287,cuflet,{1287}
1287,cubanfreightenterprise,{1287}
2109,troversa,{2109}
2110,tropicanatoursgmbh,{2110}
2674,zaydanmuhammad,{2674}
2676,alzawahiriayman,{2676}
2676,salimahmadfuad,"{12992, 17928, 6921, 9451, 17387, 49073, 10481, 2676}"
2676,alzawahiriaimanmuhammadrabi,{2676}
2677,zumarabbud,{2677}
2677,alzumarabbud,{2677}
2677,elzomoraboudabdullatifhasan,{2677}
2677,alzumuraboodabdullatifhassan,{2677}
2677,alzamurabboudabdullatifhassan,{2677}
2681,hawatmehnayif,{2681}
2681,hawatmahnayif,{2681}
2681,khalidabu,"{24760, 2681}"
2683,jibrilahmad,"{27256, 2683, 49003}"
2686,nasrallahhasanabdalkarim,"{45610, 10891, 26037, 46230, 2686}"
3749,generalnickelsa,"{13100, 3749}"
3754,marzukmusaabu,{3754}
3754,abumarzuqdrmusa,{3754}
3754,marzookmousamohamedabou,{3754}
3754,abumarzuqsaid,{3754}
3754,marzoukmusaabu,{3754}
4257,abdullahdrramadan,"{12128, 4257, 12930, 17507, 12868, 33953, 9353, 46827, 13168, 10897, 24786, 12562, 11737, 44443, 32797, 6367}"
4257,shallahdrramadanabdullah,{4257}
4257,shallahramadanabdallamohamed,{4257}
4632,centralbankoftheislamicrepublicofiran,"{4632, 26727}"
4632,bankmarkaziiran,"{25578, 25419, 25421, 25680, 13140, 4632, 4639}"
4632,centralbankofiran,"{4632, 26727}"
4633,housingbankofiran,{4633}
4635,workerswelfarebankofiran,{4635}
4635,bankrefah,"{22505, 4635}"
4639,agriculturalbankofiran,{4639}
4639,bankkeshavarzi,"{25578, 25419, 25421, 25680, 13140, 4632, 4639}"
4642,iranoverseasinvestmentbankplc,{4642}
4642,iranoverseasinvestmentcorporationlimited,{4642}
4642,iranoverseasinvestmentbanklimited,{4642}
4688,alharakatalislamiyya,"{4688, 8859}"
4690,groupementislamiquearme,"{23256, 4690}"
4690,aljamaahalislamiyahalmusallah,{4690}
4691,aumsupremetruth,{4691}
4691,aicsogokenkyusho,{4691}
4691,aiccomprehensiveresearchinstitute,{4691}
4691,aleph,{4691}
4693,basquefatherlandandliberty,{4693}
4693,batasuna,{4693}
4693,euskalherritarrok,{4693}
4693,herribatasuna,{4693}
4693,askatasuna,"{40018, 4693}"
4693,ekin,{4693}
4693,xaki,{4693}
4693,jarraihaikasegi,{4693}
4693,epanastatikipirines,"{11496, 4714, 4693}"
4693,popularrevolutionarystruggle,"{4714, 4693}"
4694,islamicgroup,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4694,algamaat,{4694}
4694,islamicgamaat,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4694,egyptianalgamaatalislamiyya,{4694}
4695,islamicresistancemovement,"{6636, 8593, 7474, 7475, 4695, 8859, 9949}"
4695,harakatalmuqawamaalislamiya,"{10761, 49580, 23628, 26446, 12148, 10742, 4695, 4696}"
4695,studentsofayyash,{4695}
4695,studentsoftheengineer,{4695}
4695,yahyaayyashunits,{4695}
4695,izzaldinalqassimbrigades,{4695}
4695,izzaldinalqassimforces,{4695}
4695,izzaldinalqassimbattalions,{4695}
4695,izzaldinalqassambrigades,{4695}
4695,izzaldinalqassamforces,{4695}
4695,izzaldinalqassambattalions,{4695}
4696,harakatulansar,"{10761, 49580, 23628, 26446, 12148, 10742, 4695, 4696}"
4696,harakatulmujahidin,"{10761, 49580, 23628, 26446, 12148, 10742, 4695, 4696}"
4696,alfaran,"{8808, 51649, 9595, 4696}"
4696,alhadid,"{52308, 4696, 24762, 24763, 21567}"
4696,alhadith,"{52308, 4696, 24762, 24763, 21567}"
4696,jamiatulansar,"{10408, 10923, 7149, 19949, 7919, 22257, 9334, 4696}"
4696,ansarulummah,"{12587, 15852, 24588, 47664, 4696, 23803}"
4697,partyofgod,{4697}
4697,islamicjihad,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4697,islamicjihadorganization,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4697,revolutionaryjusticeorganization,"{4713, 4714, 10391, 4697, 12605}"
4697,organizationoftheoppressedonearth,"{4697, 4714, 13387, 7149}"
4697,islamicjihadfortheliberationofpalestine,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4697,organizationofrightagainstwrong,"{4697, 4714, 13387, 7149}"
4697,ansarallah,"{31372, 26061, 49580, 23803, 7472, 11695, 47664, 15852, 4697, 16475, 16476, 16477}"
4697,followersoftheprophetmuhammed,{4697}
4697,lebanesehizballah,{4697}
4697,lebanesehezbollah,{4697}
4697,hizballaheso,"{4697, 10411, 11462}"
4697,hizballahinternational,"{4697, 10411, 11462}"
4697,externalsecurityorganizationofhezbollah,{4697}
4700,repressionoftraitors,{4700}
4700,dikuybogdim,{4700}
4700,dov,{4700}
4700,stateofjudea,{4700}
4700,committeeforthesafetyoftheroads,"{15666, 10923, 20284, 4700}"
4700,swordofdavid,{4700}
4700,judeapolice,{4700}
4700,kahanelives,{4700}
4700,kfartapuahfund,{4700}
4700,thejudeanvoice,{4700}
4700,forefrontoftheidea,{4700}
4700,theqomemiyutmovement,{4700}
4700,thejudeanlegion,{4700}
4700,thewayofthetorah,{4700}
4700,theyeshivaofthejewishidea,{4700}
4700,koach,{4700}
4700,kach,{4700}
4700,newkachmovement,{4700}
4700,newkachorg,{4700}
4700,kahane,{4700}
4700,yeshivatharavmeir,{4700}
4700,theinternationalkahanemovement,"{7475, 4700, 15493}"
4700,kahaneorg,{4700}
4700,jewishideayeshiva,{4700}
4700,kahanetzadakcom,{4700}
4700,kahanetzadak,{4700}
4700,thehatikvajewishidentitycenter,{4700}
4700,therabbimeirdavidkahanememorialfund,{4700}
4700,thejewishideayeshiva,{4700}
4700,friendsofthejewishideayeshiva,{4700}
4700,judeancongress,{4700}
4700,jewishlegion,{4700}
4700,thevoiceofjudea,{4700}
4700,noarmeir,{4700}
4700,meirsyouth,{4700}
4700,americanfriendsofyeshivatravmeir,{4700}
4700,americanfriendsoftheunitedyeshiva,{4700}
4700,thecommitteeagainstracismanddiscrimination,{4700}
4702,pkk,{4702}
4702,partiyakarkerankurdistan,"{4702, 11351}"
4702,thepeoplesdefenseforce,{4702}
4702,halumesrusavunmakuvveti,{4702}
4702,freedomanddemocracycongressofkurdistan,{4702}
4702,kadek,{4702}
4702,kurdistanfreedomanddemocracycongress,"{13041, 10665, 4702, 11351}"
4702,kurdistanpeoplescongress,{4702}
4702,peoplescongressofkurdistan,{4702}
4702,kongragel,{4702}
4702,kgk,{4702}
4703,ltte,{4703}
4703,tamiltigers,{4703}
4703,ellalanforce,{4703}
4706,eln,{4706}
4706,ejercitodeliberacionnacional,"{4706, 4715}"
4707,pijshaqaqifaction,{4707}
4707,pij,{4707}
4707,islamicjihadinpalestine,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4707,islamicjihadofpalestine,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
4707,abughunaymsquadofthehizballahbaytalmaqdis,{4707}
4707,pijshallahfaction,{4707}
4707,palestinianislamicjihad,"{4707, 4708, 4709, 7911, 7115, 10412, 7917, 7918, 47350}"
4707,alqudssquads,{4707}
4707,sayaraalquds,{4707}
4707,alqudsbrigades,{4707}
4707,alawdahbrigades,{4707}
4708,palestineliberationfront,"{4707, 4708, 4709, 7911, 7115, 10412, 7917, 7918, 47350}"
4708,plf,{4708}
4708,plfabuabbas,{4708}
4709,pflp,"{4709, 4710}"
4709,redeagles,{4709}
4709,redeaglegroup,{4709}
4709,redeaglegang,{4709}
4709,halhulgang,{4709}
4709,halhulsquad,{4709}
4709,palestinianpopularresistanceforces,"{4707, 4708, 4709, 7911, 7115, 10412, 7917, 7918, 47350}"
4709,pprf,"{7917, 4709}"
4709,martyrabualimustafabattalion,{4709}
4710,pflpgc,"{4709, 4710}"
4713,devrimcihalkkurtuluspartisicephesi,{4713}
4713,dhkpc,{4713}
4713,devrimcisol,{4713}
4713,revolutionaryleft,"{4713, 4714, 10391, 4697, 12605}"
4713,devsol,{4713}
4713,devsolsilahlidevrimcibirlikleri,{4713}
4713,devsolsdb,{4713}
4713,devsolarmedrevolutionaryunits,{4713}
4714,epanastatikoslaikosagonas,"{11496, 4714, 4693}"
4714,revolutionarypopularstruggle,"{4713, 4714, 10391, 4697, 12605}"
4714,popularrevolutionarystruggle,"{4714, 4693}"
4714,organizationofrevolutionaryinternationalistsolidarity,"{4697, 4714, 13387, 7149}"
4714,revolutionarynuclei,"{4713, 4714, 10391, 4697, 12605}"
4714,revolutionarycells,"{4713, 4714, 10391, 4697, 12605}"
4714,liberationstruggle,{4714}
4715,senderoluminoso,{4715}
4715,partidocomunistadelperuenelsenderoluminosodejosecarlosmariateguicommunistpartyofperuontheshiningpathofjosecarlosmariategui,{4715}
4715,partidocomunistadelperucommunistpartyofperu,{4715}
4715,socorropopulardelperu,{4715}
4715,spp,{4715}
4715,ejercitoguerrilleropopular,"{4706, 4715}"
4715,egp,{4715}
4715,ejercitopopulardeliberacion,"{4706, 4715}"
4715,communistpartyofperuontheshiningpathofjosecarlosmariategui,"{7234, 4715}"
4715,communistpartyofperu,"{7234, 4715}"
4715,peoplesaidofperu,{4715}
4715,peoplesguerrillaarmy,{4715}
4715,peoplesliberationarmy,{4715}
4717,democraticfrontfortheliberationofpalestine,"{4717, 15638}"
4717,dflp,{4717}
4717,redstarforces,{4717}
4717,redstarbattalions,{4717}
6365,binladinusama,"{11378, 7932, 6365}"
6365,binladenusama,"{11378, 7932, 6365}"
6365,binladenosama,"{11378, 7932, 6365}"
6365,binladinosama,"{11378, 7932, 6365}"
6365,binladinosamabinmuhammadbinawad,"{11378, 7932, 6365}"
6366,islamicsalvationfoundation,"{31372, 12055, 10391, 23843, 22692, 22693, 23844, 23845, 23848, 23849, 23850, 10408, 10411, 19889, 19890, 23475, 19892, 12727, 8759, 16696, 18647, 6366, 26719, 26720, 10465, 24546, 16763}"
6366,thegroupforthepreservationoftheholysites,{6366}
6366,theislamicarmyfortheliberationoftheholyplaces,{6366}
6366,theworldislamicfrontforjihadagainstjewsandcrusaders,{6366}
6366,alqaeda,"{12606, 12609, 12608, 12610, 45828, 47339, 12627, 12628, 12629, 12631, 6366, 12607}"
6366,thebase,{6366}
6366,usamabinladennetwork,{6366}
6366,usamabinladenorganization,{6366}
6366,alqaida,"{8759, 11695, 6897, 16278, 27318, 6366}"
6366,internationalfrontforfightingjewsandcrusades,"{23265, 46212, 15493, 36360, 25833, 50604, 49359, 50641, 7475, 8247, 9526, 30390, 50938, 6366}"
6366,islamicarmyfortheliberationofholysites,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
6366,aljihad,{6366}
6366,egyptianaljihad,{6366}
6366,egyptianislamicjihad,{6366}
6366,newjihad,{6366}
6366,thejihadgroup,{6366}
6366,islamicarmy,"{7325, 7638, 10408, 10923, 12115, 12756, 7637, 4694, 7639, 7640, 4697, 7641, 7642, 7644, 7643, 6366, 7645, 4707, 9334}"
6367,abdullahsheikhtaysir,"{12128, 4257, 12930, 17507, 12868, 33953, 9353, 46827, 13168, 10897, 24786, 12562, 11737, 44443, 32797, 6367}"
6367,atefmuhammad,{6367}
6367,elkhabirabuhafselmasry,"{40134, 6367}"
6367,atifmuhammad,{6367}
6367,abusittasubhi,{6367}
6367,atifmohamed,{6367}
6368,abdalwahababdalhaiahmad,{6368}
6368,abdallahissamalimuhammad,"{6368, 39297, 17185, 12868, 17509, 37416, 7852, 6927, 9935, 9329, 12562, 37430, 15414, 6907}"
6368,alkamelsalahali,{6368}
6368,tahamusarifaiahmad,{6368}
6368,thabitiz,{6368}
6531,colcerdosltda,{6531}
6539,delconsa,{6539}
6636,islamicmovementoftaliban,"{6636, 8593, 7474, 7475, 4695, 8859, 9949}"
