ID,NAME
36,AERO-CARIBBEAN
173,AVIA IMPORT
306,NATIONAL BANK OF CUBA
540,COIBA
552,CRYMSA
555,COPROVA
555,COPROVA SARL
559,CIMEX
651,DELVEST HOLDING COMPANY
735,CUBANA AIRLINES
751,CARIBBEAN EXPORT ENTERPRISE
758,CUBATUR
815,GALAX INC.
906,"HAVANA INTERNATIONAL BANK, LTD"
1287,CUFLET
1287,CUBAN FREIGHT ENTERPRISE
2109,"TROVER, S.A."
2110,TROPICANA TOURS GMBH
2674,"ZAYDAN, Muhammad"
2676,"AL-ZAWAHIRI, Ayman"
2676,"SALIM, Ahmad Fuad"
2676,"AL-ZAWAHIRI, Aiman Muhammad Rabi"
2677,"ZUMAR, Abbud"
2677,"AL-ZUMAR, Abbud"
2677,"EL-ZOMOR, Aboud Abdul Latif Hasan"
2677,"AL-ZUMUR, Abood Abdul Latif Hassan"
2677,"AL-ZAMUR, Abboud Abdul Latif Hassan"
2681,"HAWATMEH, Nayif"
2681,"HAWATMAH, Nayif"
2681,"KHALID, Abu"
2683,"JIBRIL, Ahmad"
2686,"NASRALLAH, Hasan Abd-al-Karim"
3749,GENERAL NICKEL SA
3754,"MARZUK, Musa Abu"
3754,"ABU-MARZUQ, Dr. Musa"
3754,"MARZOOK, Mousa Mohamed Abou"
3754,"ABU-MARZUQ, Sa'id"
3754,"MARZOUK, Musa Abu"
4257,"ABDULLAH, Dr. Ramadan"
4257,"SHALLAH, Dr. Ramadan Abdullah"
4257,"SHALLAH, Ramadan Abdalla Mohamed"
4632,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN
4632,BANK MARKAZI IRAN
4632,CENTRAL BANK OF IRAN
4633,HOUSING BANK - OF IRAN
4635,WORKERS' WELFARE BANK - OF IRAN
4635,BANK REFAH
4639,AGRICULTURAL BANK OF IRAN
4639,BANK KESHAVARZI
4642,IRAN OVERSEAS INVESTMENT BANK PLC
4642,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED
4642,IRAN OVERSEAS INVESTMENT BANK LIMITED
4688,AL HARAKAT AL ISLAMIYYA
4690,GROUPEMENT ISLAMIQUE ARME
4690,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH
4691,AUM SUPREME TRUTH
4691,A.I.C. SOGO KENKYUSHO
4691,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE
4691,ALEPH
4693,BASQUE FATHERLAND AND LIBERTY
4693,BATASUNA
4693,EUSKAL HERRITARROK
4693,HERRI BATASUNA
4693,ASKATASUNA
4693,EKIN
4693,XAKI
4693,JARRAI-HAIKA-SEGI
4693,EPANASTATIKI PIRINES
4693,POPULAR REVOLUTIONARY STRUGGLE
4694,ISLAMIC GROUP
4694,AL-GAMA'AT
4694,ISLAMIC GAMA'AT
4694,EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA
4695,ISLAMIC RESISTANCE MOVEMENT
4695,HARAKAT AL-MUQAWAMA AL-ISLAMIYA
4695,STUDENTS OF AYYASH
4695,STUDENTS OF THE ENGINEER
4695,YAHYA AYYASH UNITS
4695,IZZ AL-DIN AL-QASSIM BRIGADES
4695,IZZ AL-DIN AL-QASSIM FORCES
4695,IZZ AL-DIN AL-QASSIM BATTALIONS
4695,IZZ AL-DIN AL QASSAM BRIGADES
4695,IZZ AL-DIN AL QASSAM FORCES
4695,IZZ AL-DIN AL QASSAM BATTALIONS
4696,HARAKAT UL-ANSAR
4696,HARAKAT UL-MUJAHIDIN
4696,AL-FARAN
4696,AL-HADID
4696,AL-HADITH
4696,JAMIAT UL-ANSAR
4696,ANSAR-UL-UMMAH
4697,PARTY OF GOD
4697,ISLAMIC JIHAD
4697,ISLAMIC JIHAD ORGANIZATION
4697,REVOLUTIONARY JUSTICE ORGANIZATION
4697,ORGANIZATION OF THE OPPRESSED ON EARTH
4697,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE
4697,ORGANIZATION OF RIGHT AGAINST WRONG
4697,ANSAR ALLAH
4697,FOLLOWERS OF THE PROPHET MUHAMMED
4697,LEBANESE HIZBALLAH
4697,LEBANESE HEZBOLLAH
4697,HIZBALLAH ESO
4697,HIZBALLAH INTERNATIONAL
4697,EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH
4700,REPRESSION OF TRAITORS
4700,DIKUY BOGDIM
4700,DOV
4700,STATE OF JUDEA
4700,COMMITTEE FOR THE SAFETY OF THE ROADS
4700,SWORD OF DAVID
4700,JUDEA POLICE
4700,KAHANE LIVES
4700,KFAR TAPUAH FUND
4700,THE JUDEAN VOICE
4700,FOREFRONT OF THE IDEA
4700,THE QOMEMIYUT MOVEMENT
4700,THE JUDEAN LEGION
4700,THE WAY OF THE TORAH
4700,THE YESHIVA OF THE JEWISH IDEA
4700,KOACH
4700,KACH
4700,NEW KACH MOVEMENT
4700,NEWKACH.ORG
4700,KAHANE
4700,YESHIVAT HARAV MEIR
4700,THE INTERNATIONAL KAHANE MOVEMENT
4700,KAHANE.ORG
4700,JEWISH IDEA YESHIVA
4700,KAHANETZADAK.COM
4700,KAHANE TZADAK
4700,THE HATIKVA JEWISH IDENTITY CENTER
4700,THE RABBI MEIR DAVID KAHANE MEMORIAL FUND
4700,THE JEWISH IDEA YESHIVA
4700,FRIENDS OF THE JEWISH IDEA YESHIVA
4700,JUDEAN CONGRESS
4700,JEWISH LEGION
4700,THE VOICE OF JUDEA
4700,NO'AR MEIR
4700,MEIR'S YOUTH
4700,AMERICAN FRIENDS OF YESHIVAT RAV MEIR
4700,AMERICAN FRIENDS OF THE UNITED YESHIVA
4700,THE COMMITTEE AGAINST RACISM AND DISCRIMINATION
4702,PKK
4702,PARTIYA KARKERAN KURDISTAN
4702,THE PEOPLE'S DEFENSE FORCE
4702,HALU MESRU SAVUNMA KUVVETI
4702,FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN
4702,KADEK
4702,KURDISTAN FREEDOM AND DEMOCRACY CONGRESS
4702,KURDISTAN PEOPLE'S CONGRESS
4702,PEOPLE'S CONGRESS OF KURDISTAN
4702,KONGRA-GEL
4702,KGK
4703,LTTE
4703,TAMIL TIGERS
4703,ELLALAN FORCE
4706,ELN
4706,EJERCITO DE LIBERACION NACIONAL
4707,PIJ-SHAQAQI FACTION
4707,PIJ
4707,ISLAMIC JIHAD IN PALESTINE
4707,ISLAMIC JIHAD OF PALESTINE
4707,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS
4707,PIJ-SHALLAH FACTION
4707,PALESTINIAN ISLAMIC JIHAD
4707,AL-QUDS SQUADS
4707,SAYARA AL-QUDS
4707,AL-QUDS BRIGADES
4707,AL-AWDAH BRIGADES
4708,PALESTINE LIBERATION FRONT
4708,PLF
4708,PLF-ABU ABBAS
4709,PFLP
4709,RED EAGLES
4709,RED EAGLE GROUP
4709,RED EAGLE GANG
4709,HALHUL GANG
4709,HALHUL SQUAD
4709,PALESTINIAN POPULAR RESISTANCE FORCES
4709,PPRF
4709,MARTYR ABU-ALI MUSTAFA BATTALION
4710,PFLP-GC
4713,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI
4713,DHKP/C
4713,DEVRIMCI SOL
4713,REVOLUTIONARY LEFT
4713,DEV SOL
4713,DEV SOL SILAHLI DEVRIMCI BIRLIKLERI
4713,DEV SOL SDB
4713,DEV SOL ARMED REVOLUTIONARY UNITS
4714,EPANASTATIKOS LAIKOS AGONAS
4714,REVOLUTIONARY POPULAR STRUGGLE
4714,POPULAR REVOLUTIONARY STRUGGLE
4714,ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY
4714,REVOLUTIONARY NUCLEI
4714,REVOLUTIONARY CELLS
4714,LIBERATION STRUGGLE
4715,SENDERO LUMINOSO
4715,PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI)
4715,PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU)
4715,SOCORRO POPULAR DEL PERU
4715,SPP
4715,EJERCITO GUERRILLERO POPULAR
4715,EGP
4715,EJERCITO POPULAR DE LIBERACION
4715,COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI
