ID,NAME,TYPE
36,AEROCARIBBEAN AIRLINES,C
173,"ANGLO-CARIBBEAN CO., LTD.",C
306,BANCO NACIONAL DE CUBA,C
424,BOUTIQUE LA MAISON,C
475,CASA DE CUBA,C
480,"CECOEX, S.A.",C
535,CIMEX,C
536,CIMEX IBERICA,C
537,"CIMEX, S.A.",C
540,"COMERCIAL IBEROAMERICANA, S.A.",C
551,"COMERCIAL CIMEX, S.A.",C
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",C
555,COMERCIALIZACION DE PRODUCTOS VARIOS,C
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,C
576,"CORPORACION CIMEX, S.A.",C
578,COTEI,C
589,"CRYMSA - ARGENTINA, S.A.",C
590,CUBACANCUN CIGARS AND GIFT SHOPS,C
591,CUBAEXPORT,C
592,CUBAFRUTAS,C
593,CUBAN CIGARS TRADE,C
621,CUBANATUR,C
622,CUBATABACO,C
636,"CUMEXINT, S.A.",C
651,"DELVEST HOLDING, S.A.",C
701,EDICIONES CUBANAS,C
702,"EDYJU, S.A.",C
735,EMPRESA CUBANA DE AVIACION,C
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS,C
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,C
767,ETCO INTERNATIONAL COMMODITIES LTD.,C
768,"ETCO INTERNATIONAL COMPANY, LIMITED",C
815,"GALAX TRADING CO., LTD.",C
906,HAVIN BANK LIMITED,C
907,HAVANATUR,C
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA,C
1043,INTERCONSULT,C
1241,"KAVE, S.A.",C
1287,LA EMPRESA CUBANA DE FLETES,C
1316,"LEVERAGE, S.A.",C
1555,NIREF,C
1570,NORDSTRAND LTD.,C
1571,NORDSTRAND MARITIME AND TRADING COMPANY,C
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,C
1660,"PESCABRAVA, S.A.",C
1700,PRELASA,C
1701,PRENSA LATINA CANADA LTD.,C
1702,PRENSA LATINA,C
1888,"SERVINAVES, S.A.",C
2109,"TROBER, S.A.",C
2110,TROPIC TOURS GMBH,C
2184,"VIAJES GUAMA, S.A.",C
2186,VINALES TOURS,C
3748,COBALT REFINERY CO. INC.,C
3749,LA COMPANIA GENERAL DE NIQUEL,C
3750,INTERNATIONAL COBALT CO. INC.,C
3751,MOA NICKEL SA,C
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN,C
4633,BANK MASKAN,C
4635,BANK REFAH KARGARAN,C
4639,BANK KESHAVARZI IRAN,C
4642,BANK SADERAT PLC,C
4688,ABU SAYYAF GROUP,C
4690,ARMED ISLAMIC GROUP,C
4691,AUM SHINRIKYO,C
4693,EUZKADI TA ASKATASUNA,C
4694,GAMA'A AL-ISLAMIYYA,C
4695,HAMAS,C
4696,HARAKAT UL-MUJAHIDEEN,C
4697,HIZBALLAH,C
4700,KAHANE CHAI,C
4702,KURDISTAN WORKERS' PARTY,C
4703,LIBERATION TIGERS OF TAMIL EELAM,C
4706,NATIONAL LIBERATION ARMY,C
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,C
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,C
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,C
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,C
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,C
4714,REVOLUTIONARY PEOPLE'S STRUGGLE,C
4715,SHINING PATH,C
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,C
6366,AL QA'IDA,C
6531,COLOMBIANA DE CERDOS LTDA.,C
6539,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,C
6550,MATADERO METROPOLITANO LTDA.,C
6636,TALIBAN,C
6663,COMERCIALIZADORA DE CARNES LTDA.,C
6680,SERVIAUTOS UNO A 1A LIMITADA,C
6719,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,C
6720,COMPANIA AGROINVERSORA HENAGRO LTDA.,C
6721,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,C
6722,MAQUINARIA TECNICA Y TIERRAS LTDA.,C
6723,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,C
6725,ISLAMIC MOVEMENT OF UZBEKISTAN,C
6726,CAVIEDES DILEO Y CIA. S.C.S.,C
6824,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,C
6826,GALAPAGOS S.A,C
6853,NEW IRISH REPUBLICAN ARMY,C
6895,UNITED SELF-DEFENSE FORCES OF COLOMBIA,C
6896,ASBAT AL-ANSAR,C
6897,SALAFIST GROUP FOR CALL AND COMBAT,C
6898,LIBYAN ISLAMIC FIGHTING GROUP,C
6899,AL-ITIHAAD AL-ISLAMIYA,C
6900,ISLAMIC ARMY OF ADEN,C
6910,MAKHTAB AL-KHIDAMAT/AL KIFAH,C
6911,WAFA HUMANITARIAN ORGANIZATION,C
6912,AL RASHID TRUST,C
6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,C
6932,AL-HAMATI SWEETS BAKERIES,C
6935,JAISH-I-MOHAMMED,C
6936,JAM'YAH TA'AWUN AL-ISLAMIA,C
6937,RABITA TRUST,C
7114,AL-AQSA ISLAMIC BANK,C
7115,BEIT EL-MAL HOLDINGS,C
7116,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,C
7132,UMMAH TAMEER E-NAU,C
7140,LASHKAR E-TAYYIBA,C
7141,CONTINUITY IRA,C
7142,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,C
7143,LOYALIST VOLUNTEER FORCE,C
7144,ORANGE VOLUNTEERS,C
7145,RED HAND DEFENDERS,C
7146,ULSTER DEFENCE ASSOCIATION,C
7149,REVIVAL OF ISLAMIC HERITAGE SOCIETY,C
7151,ACCESOS ELECTRONICOS S.A.DE C.V.,C
7152,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",C
7153,"ADP, S.C.",C
7154,"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",C
7156,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",C
7157,"FARMACIA VIDA SUPREMA, S.A. DE C.V.",C
7158,"FORPRES, S.C.",C
7160,GEX EXPLORE S. DE R.L. DE C.V.,C
7161,"OPERADORA VALPARK, S.A. DE C.V.",C
7162,"VALPARK, S.A. DE C.V.",C
7199,AL-HARAMAIN ISLAMIC FOUNDATION,C
7200,AL-AQSA MARTYRS BRIGADE,C
7201,THE AID ORGANIZATION OF THE ULEMA,C
7219,ASKATASUNA,C
7227,BABBAR KHALSA INTERNATIONAL,C
7228,INTERNATIONAL SIKH YOUTH FEDERATION,C
7234,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,C
7262,EASTERN TURKISTAN ISLAMIC MOVEMENT,C
7268,TUNISIAN COMBAT GROUP,C
7269,"GLOBAL RELIEF FOUNDATION, INC.",C
7270,"GLOBAL RELIEF FOUNDATION, INC.",C
7280,JEMAA ISLAMIYAH,C
7283,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,C
7284,AGROPECUARIA MIRALINDO S.A.,C
7285,ARIZONA S.A.,C
7286,GANADERIA EL VERGEL LTDA.,C
7287,GANADERIAS BILBAO LTDA.,C
7288,INMOBILIARIA EL ESCORIAL LTDA.,C
7289,INMOBILIARIA LINARES LTDA.,C
7290,INMOBILIARIA PASADENA LTDA.,C
7291,INVERSIONES LA QUINTA Y CIA. LTDA.,C
7292,LADRILLERA LA CANDELARIA LTDA.,C
7293,MONTOYA LUNA E HIJOS Y CIA. S.C.S.,C
7294,ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,C
7295,VISCAYA LTDA.,C
7321,BENEVOLENCE INTERNATIONAL FOUNDATION,C
7322,BENEVOLENCE INTERNATIONAL FUND,C
7323,BOSANSKA IDEALNA FUTURA,C
7324,MOROCCAN ISLAMIC COMBATANT GROUP,C
7325,LAJNAT AL DAAWA AL ISLAMIYYA,C
7330,STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,C
7331,LASHKAR I JHANGVI,C
7472,ANSAR AL-ISLAM,C
7473,THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,C
7474,THE SPECIAL PURPOSE ISLAMIC REGIMENT,C
7475,THE ISLAMIC INTERNATIONAL BRIGADE,C
7576,BANANERA AGRICOLA S.A.,C
7579,CIA. MINERA DAPA S.A.,C
7580,COMPANIA DE FOMENTO MERCANTIL S.A.,C
7581,CONSTRUCCIONES PROGRESO DEL PUERTO S.A.,C
7583,CREDISA S.A.,C
7584,CRIADERO LA LUISA E.U.,C
7585,DRAGADOS Y MUELLES GAVIOTA LTDA.,C
7589,GRANJA LA SIERRA LTDA.,C
7590,GRAN MUELLE S.A.,C
7593,MIRA E.U.,C
7595,OCCIDENTAL DE PAPELES LTDA.,C
7598,SERVICIO AEREO DE SANTANDER E.U.,C
7600,UNIDAS S.A.,C
7631,TODOBOLSAS Y COLSOBRES,C
7637,AL-AQSA FOUNDATION,C
7638,AL-AQSA E.V.,C
7639,STICHTING AL-AQSA,C
7640,FORENINGEN AL-AQSA,C
7641,AL-AQSA,C
7642,AQSSA SOCIETY YEMEN,C
7643,AL-AQSA FOUNDATION,C
7644,AL-AQSA FOUNDATION,C
7645,AL-AQSA FOUNDATION,C
7649,ALBANIAN NATIONAL ARMY,C
7651,ARMY OF THE REPUBLIC OF ILIRIDA,C
7658,BIO CORPORATION,C
7671,CETNIK RAVNAGORSKI POKRET,C
7679,FRONT FOR ALBANIAN NATIONAL UNITY,C
7720,"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC",C
7728,MANCO OIL COMPANY,C
7754,NATIONAL COMMITTEE FOR THE LIBERATION AND PROTECTION OF ALBANIAN LANDS,C
7755,NATIONAL LIBERATION ARMY,C
7756,NATIONAL MOVEMENT FOR THE LIBERATION OF KOSOVO,C
7769,"POLITICAL COUNCIL OF PRESEVO, MEDVEDJA, AND BUJANOVAC",C
7771,POPULAR MOVEMENT OF KOSOVO,C
7774,PUMA SECURITY COMPANY,C
7825,UNITED WA STATE ARMY,C
7911,ASSOCIATION DE SECOURS PALESTINIENS,C
7916,COMITE' DE BIENFAISANCE ET DE SECOURS AUX PALESTINIENS,C
7917,INTERPAL,C
7918,PALESTINIAN ASSOCIATION IN AUSTRIA,C
7919,SANABIL ASSOCIATION FOR RELIEF AND DEVELOPMENT,C
7946,AL-AKHTAR TRUST INTERNATIONAL,C
8083,AL-BAKOUN ALA AL-AHD ORGANIZATION,C
8085,DHAMAT HOUMET DAAWA SALAFIA,C
8107,AL-HARAMAIN : PAKISTAN BRANCH,C
8108,AL-HARAMAIN : INDONESIA BRANCH,C
8109,AL-HARAMAIN : KENYA BRANCH,C
8110,AL-HARAMAIN : TANZANIA BRANCH,C
8124,"2904977 CANADA, INC.",C
8125,CORPORACION CIMEX S.A.,C
8126,CUBANACAN GROUP,C
8127,CUBANACAN INTERNATIONAL B.V,C
8128,CUBANACAN U.K. LIMITED,C
8129,HAVANATUR S.A.,C
8131,HAVANATUR BAHAMAS LTD.,C
8132,HAVANATUR CHILE S.A.,C
8133,LA COMPANIA TIENDAS UNIVERSO S.A.,C
8134,FUNDACION PARA LA PAZ DE CORDOBA,C
8199,HOLA SUN HOLIDAYS LIMITED,C
8210,AL WASEL AND BABEL GENERAL TRADING LLC,C
8211,"AL-BASHAIR TRADING COMPANY, LTD",C
8212,AL-HUDA STATE COMPANY FOR RELIGIOUS TOURISM,C
8213,AVIATRANS ANSTALT,C
8214,LOGARCHEO S.A.,C
8223,AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION : BOSNIA BRANCH,C
8224,TAIBAH INTERNATIONAL : BOSNIA BRANCH,C
8225,AL FURQAN,C
8236,ARELLANO FELIX ORGANIZATION,C
8237,JUAREZ CARTEL,C
8244,AERO CONTINENTE S.A,C
8245,AVIANDINA S.A.C.,C
8247,IAC INTERNATIONAL INC.,C
8250,"SISTEMA DE DISTRIBUCION MUNDIAL, S.A.C.",C
8254,AERO CONTINENTE (USA) INC.,C
8255,CARGO AIRCRAFT LEASING CORP.,C
8256,"INTERNATIONAL PACIFIC TRADING, INC.",C
8258,AL-HARAMAIN : AFGHANISTAN BRANCH,C
8259,AL-HARAMAIN : ALBANIA BRANCH,C
8260,AL-HARAMAIN : BANGLADESH BRANCH,C
8261,AL-HARAMAIN : ETHIOPIA BRANCH,C
8262,AL-HARAMAIN : THE NETHERLANDS BRANCH,C
8266,CASA APOLLO,C
8267,BARAKAT IMPORT EXPORT LTDA,C
8306,A.W.A. ENGINEERING LIMITED,C
8309,ADMINCHECK LIMITED,C
8310,"ADVANCED ELECTRONICS DEVELOPMENT, LTD",C
8314,AL-ARABI TRADING COMPANY LIMITED,C
8340,AMD CO. LTD AGENCY,C
8341,ARAB PETROLEUM ENGINEERING COMPANY LTD,C
8342,ARAB PROJECTS COMPANY S.A. LTD.,C
8345,ARCHI CENTRE I.C.E. LIMITED,C
8346,ARCHICONSULT LIMITED,C
8347,ASSOCIATED ENGINEERS,C
8351,ATLAS AIR CONDITIONING COMPANY LIMITED,C
8352,ATLAS EQUIPMENT COMPANY LIMITED,C
8354,BAROON SHIPPING COMPANY LIMITED,C
8359,DURAND PROPERTIES LIMITED,C
8360,ENDSHIRE EXPORT MARKETING,C
8364,FALCON SYSTEMS,C
8366,FARTRADE HOLDINGS S.A.,C
8368,H & H METALFORM GMBH,C
8370,HELFORD DIRECTORS LIMITED,C
8371,I.P.C. INTERNATIONAL LIMITED,C
8372,I.P.C. MARKETING LIMITED,C
8373,"INVESTACAST PRECISION CASTINGS, LTD.",C
8374,IRAQI ALLIED SERVICES LIMITED,C
8375,IRAQI FREIGHT SERVICES LIMITED,C
8376,IRAQI TRADE CENTER,C
8377,JARACO S.A.,C
8383,KEENCLOUD LIMITED,C
8387,MEED INTERNATIONAL LIMITED,C
8393,ORIENT SHIPPING LIMITED,C
8394,PANDORA SHIPPING CO. S.A.,C
8395,PETRA NAVIGATION & INTERNATIONAL TRADING CO. LTD.,C
8396,RAJBROOK LIMITED,C
8397,"REYNOLDS AND WILSON, LTD.",C
8403,T N K FABRICS LIMITED,C
8404,T.E.G. LIMITED,C
8405,T.M.G. ENGINEERING LIMITED,C
8407,TARIQ ABU SHANAB EST. FOR TRADE & COMMERCE,C
8408,TECHNOLOGY AND DEVELOPMENT GROUP LTD,C
8409,"TIGRIS TRADING, INC.",C
8411,TRADING & MARITIME INVESTMENTS,C
8412,U.I. INTERNATIONAL,C
8415,WHALE SHIPPING LTD.,C
8416,A.T.E. INTERNATIONAL LTD.,C
8420,BLOTO INTERNATIONAL COMPANY,C
8422,MELFI MARINE CORPORATION S.A.,C
8592,AL-HARAMAIN FOUNDATION : COMOROS ISLANDS,C
8593,ISLAMIC AFRICAN RELIEF AGENCY,C
8731,ACCIRENT S.A.,C
8732,AEROCOMERCIAL ALAS DE COLOMBIA LTDA.,C
8733,AEROVIAS ATLANTICO LTDA.,C
8734,ASOCIACION TURISTICA INTERNACIONAL S.C.S.,C
8735,CIA. CONSTRUCTORA Y COMERCIALIZADORA DEL SUR LTDA.,C
8736,COMERCIALIZADORA ANDINA BRASILERA S.A.,C
8737,DESARROLLOS AGROINDUSTRIALES S.A.,C
8738,GREEN ISLAND S.A.,C
8739,INDUSTRIAL MINERA Y PECUARIA S.A.,C
8740,INTERCONTINENTAL DE FINANCIACION AEREA  S.A.,C
8741,INVERSIONES Y COMERCIALIZADORA INCOM LTDA.,C
8742,LA FRONTERA UNION GALVEZ Y CIA S EN C,C
8743,LARGO LEASING LTD.,C
8744,TRANS PACIFIC WORLD LEASING LIMITED,C
8759,ISLAMIC STATE OF IRAQ AND THE LEVANT,C
8761,SERCUBA,C
8811,SERB DEMOCRATIC PARTY,C
8812,ZDRAVO,C
8813,KOMOTKO,C
8859,MOVEMENT FOR ISLAMIC REFORM IN ARABIA,C
8863,RAMCHARAN LTD,C
8864,RAMCHARAN BROTHERS LTD,C
8865,CARIBBEAN SHOWPLACE LTD,C
8866,CARIBBEAN BEACH PARK,C
8882,SES INTERNATIONAL CORP,C
9333,ELEHSSAN,C
9334,ISLAMIC JIHAD GROUP,C
9337,ARRIOLA MARQUEZ ORGANIZATION,C
9345,KOREA MINING DEVELOPMENT TRADING CORPORATION,C
9346,TANCHON COMMERCIAL BANK,C
9347,KOREA RYONBONG GENERAL CORPORATION,C
9348,AEROSPACE INDUSTRIES ORGANIZATION,C
9349,SHAHID HEMMAT INDUSTRIAL GROUP,C
9350,SHAHID BAKERI INDUSTRIAL GROUP,C
9352,SCIENTIFIC STUDIES AND RESEARCH CENTER,C
