test_index,test_name,matched_ids,score,true_id,correct,true_group,recall
0,aerocaribeanairlines,{36},0.9541125541125541,36,True,{36},1.0
1,unglocaribbeancolt,{173},0.8189473684210528,173,True,{173},1.0
2,banconacionaldeguba,{306},0.9094736842105264,306,True,{306},1.0
3,boutiquelamaison,{424},1.0,424,True,{424},1.0
4,casaecuba,{475},0.8345454545454547,475,True,{475},1.0
5,sacecoetx,set(),0.48888888888888893,480,False,{480},0.0
6,cmex,"{536, 537, 559, 535}",0.6933333333333334,535,True,{535},1.0
7,cimexibevrica,"{536, 537, 559, 535}",0.8703296703296703,536,True,{536},1.0
8,acimex,"{536, 537, 559, 535}",0.7380952380952381,537,True,{537},1.0
9,comerciaqlibehoamericanasa,"{6663, 13453, 10002, 12185, 10651, 10652, 540, 10653, 7583, 8736, 10654, 10655, 11557, 551, 552, 555, 9387, 12847, 12474, 12101, 11875, 12899}",0.8660968660968662,540,True,"{8741, 552, 9387, 10651, 10652, 540, 10655}",0.8571428571428571
10,comreciacimexsa,"{6663, 13453, 10002, 12185, 10651, 10652, 540, 10653, 7583, 8736, 10654, 10655, 11557, 551, 552, 555, 9387, 12847, 12474, 12101, 11875, 12899}",0.7397058823529413,551,True,{551},1.0
11,comercialderodajesymaqiunariasa,"{6663, 13453, 10002, 12185, 10651, 10652, 540, 10653, 7583, 8736, 10654, 10655, 11557, 551, 552, 555, 9387, 12847, 12474, 12101, 11875, 12899}",0.9185483870967743,552,True,"{8741, 552, 9387, 10651, 10652, 540, 10655}",0.8571428571428571
12,productosvahrirosdecomercializaion,"{6663, 13453, 10002, 12185, 10651, 10652, 540, 10653, 7583, 8736, 10654, 10655, 11557, 551, 552, 555, 9387, 12847, 12474, 12101, 11875, 12899}",0.6413445378151261,555,True,{555},1.0
13,companiadeimportacionyexprtacioniberia,{559},0.9548717948717949,559,True,{559},1.0
14,cimexcorpoeracionsax,"{576, 8125}",0.6514285714285715,576,True,"{576, 8125}",1.0
